	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
100018_at	169.37000	72.37000	76.41000	85.80000	91.88000	135.26000	164.55000	71.39000	102.32000	78.52000	58.14000	55.63000	75.69000	76.10000	119.83000	129.29000	119.62000	117.17000	106.92000	122.01000	128.45000	146.25000	122.57000	124.17000	132.35000	105.03000	
100019_at	199.86000	145.92000	110.76000	102.09000	121.08000	107.87000	134.61000	136.70000	102.64000	118.18000	101.36000	97.57000	57.44000	126.22000	43.21000	30.91000	27.24000	38.25000	24.66000	20.75000	37.88000	46.81000	30.39000	16.67000	44.52000	47.15000	
100020_at	88.38000	161.56000	69.98000	129.46000	75.27000	67.95000	74.74000	75.35000	68.83000	90.54000	94.76000	92.39000	112.43000	130.78000	147.37000	169.81000	146.35000	144.37000	187.96000	187.46000	156.90000	145.51000	195.45000	140.18000	180.20000	173.00000	
100021_at	36.26000	17.11000	18.59000	13.95000	21.63000	13.36000	8.45000	23.44000	10.29000	14.24000	29.62000	32.83000	17.64000	7.25000	13.25000	23.64000	15.05000	11.30000	18.71000	13.02000	9.64000	9.37000	10.59000	6.13000	15.10000	12.10000	
100022_at	172.42000	161.47000	176.52000	195.06000	201.37000	215.71000	141.85000	181.91000	167.32000	192.84000	175.47000	197.73000	184.99000	247.13000	233.65000	212.99000	174.35000	206.06000	214.66000	176.88000	281.81000	294.56000	354.35000	264.48000	175.08000	202.09000	
100023_at	12.03000	0.14000	NaN	22.69000	10.04000	14.62000	8.62000	7.21000	21.19000	10.24000	26.98000	3.99000	0.00000	1.99000	11.37000	9.56000	13.02000	13.25000	NaN	14.39000	10.48000	14.30000	11.33000	NaN	12.71000	9.82000	
100024_at	48.85000	29.72000	39.98000	48.35000	47.13000	59.44000	77.00000	51.35000	88.91000	82.92000	77.47000	71.91000	66.60000	91.89000	31.54000	22.53000	30.81000	26.57000	32.00000	34.50000	82.23000	80.10000	62.27000	81.61000	68.86000	54.90000	
100026_at	588.58000	881.12000	510.94000	629.56000	535.08000	375.25000	387.38000	948.21000	808.02000	789.66000	692.35000	1079.25000	588.81000	482.07000	450.62000	439.58000	386.40000	354.51000	404.79000	403.86000	530.40000	610.69000	746.28000	679.52000	541.06000	533.64000	
100027_s_at	409.16000	463.50000	313.64000	376.78000	352.06000	342.63000	386.40000	326.98000	376.78000	419.21000	426.68000	434.68000	440.10000	389.09000	515.44000	533.69000	465.71000	581.53000	533.45000	444.69000	550.51000	654.04000	642.89000	571.75000	545.42000	547.62000	
100028_r_at	19.14000	26.97000	10.75000	17.03000	15.96000	7.00000	4.62000	13.19000	26.93000	18.44000	25.79000	20.87000	NaN	34.36000	84.28000	64.63000	65.80000	82.96000	84.03000	94.08000	98.72000	95.11000	83.22000	65.80000	67.84000	72.71000	
100029_at	634.89000	384.83000	463.79000	548.78000	615.28000	575.38000	596.91000	319.82000	480.72000	409.52000	505.47000	530.92000	513.65000	555.93000	728.06000	637.89000	623.73000	596.80000	621.94000	560.53000	728.64000	687.24000	685.85000	730.80000	588.59000	567.53000	
100030_at	10.62000	6.63000	24.16000	21.50000	10.53000	13.77000	9.00000	4.72000	31.38000	7.02000	32.30000	7.58000	15.66000	15.43000	37.32000	31.52000	32.72000	38.88000	27.27000	21.97000	22.34000	33.85000	24.38000	28.78000	20.04000	18.22000	
100032_at	223.08000	264.73000	266.43000	183.98000	205.31000	208.53000	187.75000	282.33000	318.76000	345.53000	267.86000	208.37000	190.03000	237.56000	66.31000	54.90000	64.70000	94.20000	53.19000	67.35000	135.15000	120.45000	80.01000	110.20000	144.26000	122.44000	
100033_at	166.71000	247.86000	174.86000	146.90000	131.61000	121.20000	157.90000	219.10000	169.26000	266.42000	246.71000	229.10000	144.66000	112.39000	161.82000	125.92000	126.60000	129.76000	124.91000	150.71000	160.31000	176.04000	145.95000	173.18000	189.25000	155.24000	
100034_at	NaN	1.37000	NaN	0.89000	NaN	0.30000	NaN	NaN	NaN	9.39000	NaN	NaN	6.03000	NaN	1.50000	NaN	0.75000	NaN	NaN	NaN	0.41000	NaN	3.21000	NaN	NaN	NaN	
100035_at	NaN	5.17000	5.38000	3.68000	3.04000	3.38000	4.05000	21.36000	7.76000	5.69000	6.05000	34.36000	14.51000	5.47000	NaN	3.30000	0.00000	2.15000	0.52000	4.58000	NaN	2.18000	6.91000	0.51000	3.85000	6.79000	
100037_at	12.26000	21.33000	21.63000	11.16000	NaN	19.05000	18.29000	27.65000	17.91000	5.24000	17.20000	NaN	17.11000	24.88000	53.31000	55.95000	52.00000	44.34000	60.29000	57.33000	55.38000	62.80000	48.88000	37.64000	72.75000	69.04000	
100039_at	549.27000	484.30000	407.66000	506.79000	611.91000	452.54000	536.94000	476.56000	364.78000	333.22000	334.24000	430.16000	354.17000	329.24000	195.98000	197.28000	243.81000	143.96000	197.36000	269.06000	329.60000	365.18000	347.19000	328.48000	379.59000	356.08000	
100040_at	53.43000	57.72000	55.41000	50.84000	62.52000	46.10000	47.11000	45.11000	46.96000	29.03000	8.01000	31.24000	18.56000	49.89000	74.36000	63.32000	50.58000	57.09000	41.87000	55.90000	76.12000	84.20000	80.01000	77.20000	84.29000	73.10000	
100041_at	1034.90000	714.68000	635.69000	861.44000	1016.45000	719.30000	910.27000	701.76000	710.76000	746.49000	840.48000	783.88000	627.00000	728.90000	308.47000	281.08000	274.79000	309.73000	272.89000	316.32000	453.90000	462.56000	544.66000	597.17000	503.57000	477.21000	
100042_at	373.19000	348.67000	303.29000	306.00000	332.48000	341.12000	374.54000	366.81000	366.30000	355.52000	325.68000	396.26000	386.63000	417.11000	263.37000	297.93000	296.59000	272.18000	404.42000	414.49000	267.33000	239.56000	282.53000	279.59000	343.28000	338.17000	
100043_f_at	9.71000	4.22000	4.17000	8.29000	17.44000	5.17000	10.55000	17.40000	12.33000	11.22000	10.10000	4.65000	15.28000	16.49000	9.07000	8.00000	8.73000	12.84000	2.84000	8.78000	5.91000	14.80000	2.52000	28.04000	12.40000	3.12000	
100044_at	274.92000	187.77000	194.09000	179.37000	156.29000	340.22000	334.88000	228.69000	158.10000	174.60000	325.27000	234.62000	154.36000	363.15000	348.69000	516.84000	444.52000	341.25000	569.40000	518.41000	387.63000	341.72000	360.48000	268.73000	454.84000	324.71000	
100046_at	74.83000	35.88000	114.13000	51.51000	53.47000	79.14000	97.86000	54.45000	76.68000	42.13000	52.68000	62.68000	75.16000	90.89000	49.81000	74.35000	50.53000	34.55000	38.59000	52.10000	114.78000	114.69000	70.02000	68.22000	74.17000	71.46000	
100047_at	4472.80000	4624.33000	4604.30000	4010.25000	5086.62000	3520.72000	3145.85000	8283.51000	7528.79000	6317.13000	7228.98000	8014.63000	7656.19000	6028.20000	3350.11000	3481.62000	4593.88000	4356.87000	4375.08000	4369.19000	2385.45000	2131.96000	2619.15000	2796.78000	2505.29000	2636.34000	
100048_at	41.62000	20.66000	27.67000	26.59000	37.26000	30.88000	36.44000	29.02000	36.09000	24.33000	29.21000	33.03000	35.36000	27.48000	50.00000	55.28000	61.36000	55.76000	69.20000	81.08000	72.70000	59.51000	40.22000	53.69000	63.76000	67.72000	
100049_at	12.71000	5.07000	6.57000	6.99000	10.86000	NaN	NaN	2.94000	7.89000	NaN	9.87000	NaN	NaN	2.26000	NaN	5.82000	2.33000	NaN	4.73000	3.17000	6.16000	6.33000	NaN	10.66000	5.14000	4.26000	
100050_at	40.38000	38.10000	19.62000	59.24000	43.60000	56.29000	31.53000	43.59000	60.29000	71.20000	36.26000	75.10000	102.81000	69.85000	118.90000	73.97000	117.33000	118.75000	81.79000	114.48000	50.87000	56.88000	74.90000	124.21000	108.20000	100.36000	
100051_at	149.43000	162.70000	156.00000	167.65000	169.53000	141.73000	134.04000	185.71000	142.30000	139.88000	176.88000	160.18000	170.63000	174.39000	275.43000	229.89000	179.84000	272.27000	220.66000	175.77000	243.54000	253.84000	272.25000	276.85000	186.44000	195.05000	
100052_at	NaN	NaN	NaN	8.81000	4.94000	NaN	NaN	NaN	6.07000	NaN	NaN	0.80000	NaN	3.71000	3.32000	0.14000	NaN	13.47000	NaN	NaN	6.83000	8.71000	NaN	NaN	7.97000	21.87000	
100054_s_at	43.49000	66.11000	56.13000	60.88000	72.96000	42.41000	49.18000	56.98000	47.86000	66.85000	29.80000	85.81000	65.30000	28.14000	71.51000	79.10000	74.01000	114.61000	88.73000	78.45000	45.40000	73.79000	72.94000	62.36000	74.26000	84.96000	
100056_at	325.29000	489.14000	446.39000	384.92000	414.33000	300.28000	338.05000	506.40000	534.53000	493.62000	531.08000	638.46000	547.03000	446.16000	232.33000	256.26000	250.89000	241.19000	302.72000	297.08000	246.09000	265.42000	275.03000	252.76000	254.39000	244.53000	
100057_at	175.69000	154.50000	142.50000	197.44000	228.02000	136.35000	150.26000	113.76000	122.92000	125.59000	103.27000	137.25000	140.92000	118.31000	119.32000	116.27000	104.61000	124.52000	130.83000	95.07000	116.69000	139.89000	137.23000	155.02000	143.09000	138.43000	
100058_at	22.42000	13.13000	11.20000	65.16000	42.28000	24.58000	23.94000	3.81000	23.27000	24.82000	46.63000	54.70000	18.33000	30.11000	27.54000	32.66000	102.07000	98.87000	116.26000	112.55000	33.23000	12.72000	66.47000	46.27000	68.24000	75.28000	
100059_at	77.48000	83.98000	66.50000	117.93000	129.56000	86.32000	73.47000	91.23000	81.26000	70.96000	61.37000	99.03000	125.19000	79.09000	80.41000	62.17000	82.21000	98.20000	78.14000	77.75000	79.00000	64.31000	71.01000	94.34000	92.12000	76.76000	
100060_i_at	12.71000	3.24000	4.45000	5.70000	5.90000	3.40000	NaN	9.30000	8.92000	13.19000	10.99000	12.19000	0.38000	4.53000	0.90000	4.62000	5.33000	6.73000	5.08000	6.53000	4.62000	6.05000	7.78000	4.23000	6.94000	4.25000	
100061_f_at	11.01000	NaN	NaN	5.76000	NaN	2.81000	NaN	NaN	6.07000	NaN	NaN	NaN	NaN	15.67000	7.68000	7.52000	NaN	17.26000	4.93000	6.81000	12.36000	9.78000	5.04000	4.72000	8.92000	6.92000	
100062_at	37.27000	17.77000	25.78000	17.81000	24.18000	16.94000	13.60000	15.53000	16.45000	10.83000	17.74000	NaN	15.51000	15.85000	21.73000	2.88000	9.08000	14.20000	5.77000	15.21000	18.03000	19.51000	9.87000	14.25000	11.16000	11.39000	
100064_f_at	3445.36000	3287.43000	3336.75000	3078.55000	2796.42000	3132.46000	3687.12000	3025.31000	2550.10000	2946.12000	3110.57000	2888.55000	2649.98000	3356.47000	1876.47000	1975.79000	2408.11000	2158.10000	1883.01000	2017.68000	2390.12000	2375.31000	2162.69000	2319.76000	2268.24000	2142.18000	
100065_r_at	193.88000	139.38000	271.16000	206.63000	119.03000	233.33000	233.28000	146.80000	151.45000	124.36000	232.83000	107.67000	103.72000	163.09000	197.63000	242.27000	251.82000	203.73000	137.85000	175.75000	335.39000	332.73000	225.24000	196.92000	204.95000	202.46000	
100066_at	292.77000	179.29000	192.51000	253.12000	300.24000	218.66000	231.02000	296.99000	251.10000	216.33000	189.20000	186.10000	256.71000	260.21000	76.12000	85.06000	74.69000	76.27000	80.55000	84.02000	88.77000	102.54000	102.61000	98.40000	98.97000	111.91000	
100067_at	NaN	2.94000	2.22000	9.67000	NaN	13.02000	7.98000	NaN	5.55000	NaN	0.68000	14.22000	NaN	11.54000	19.59000	6.93000	13.51000	12.02000	7.17000	8.21000	13.30000	19.46000	11.83000	8.40000	19.08000	20.18000	
100068_at	146.44000	88.24000	116.26000	151.07000	128.40000	271.19000	199.94000	146.34000	135.84000	208.71000	287.74000	260.54000	256.86000	378.25000	317.72000	375.00000	326.39000	309.35000	452.35000	399.14000	331.11000	343.17000	376.55000	392.56000	569.84000	498.69000	
100069_at	55.35000	37.77000	100.40000	58.13000	82.92000	67.59000	58.49000	65.15000	51.73000	61.96000	64.37000	59.69000	66.76000	95.39000	104.74000	76.26000	67.45000	108.18000	74.05000	78.85000	78.14000	79.41000	98.44000	131.48000	80.21000	84.58000	
100071_at	90.02000	92.04000	59.05000	92.34000	128.32000	69.84000	67.11000	74.95000	68.44000	101.66000	76.15000	121.83000	111.28000	87.81000	108.17000	79.10000	61.15000	74.51000	62.79000	75.38000	116.37000	88.72000	87.61000	99.38000	69.81000	72.23000	
100072_at	170.95000	192.41000	176.71000	228.16000	200.38000	184.61000	194.41000	240.51000	185.10000	176.92000	209.49000	211.29000	171.70000	176.23000	191.74000	184.88000	229.48000	180.22000	228.99000	196.36000	181.64000	186.01000	188.66000	169.35000	211.41000	217.29000	
100073_at	124.81000	94.88000	74.27000	95.36000	91.88000	78.10000	87.34000	100.11000	94.63000	54.44000	63.19000	94.05000	93.41000	87.27000	102.31000	112.13000	104.36000	109.82000	102.42000	134.31000	95.18000	85.85000	103.02000	110.78000	84.15000	92.62000	
100074_at	108.43000	130.57000	100.14000	172.04000	160.73000	106.15000	86.69000	129.09000	122.50000	109.97000	129.29000	166.16000	123.20000	95.72000	199.02000	139.61000	109.58000	111.49000	125.35000	271.92000	126.00000	236.02000	48.72000	75.29000	222.71000	140.43000	
100078_at	NaN	13.18000	NaN	20.16000	NaN	2.72000	NaN	8.78000	19.47000	26.85000	20.52000	12.16000	NaN	18.27000	9.95000	8.18000	4.27000	17.32000	2.03000	3.12000	7.79000	8.99000	13.45000	19.21000	6.13000	1.64000	
100079_at	615.80000	511.51000	490.74000	583.03000	529.57000	627.50000	591.24000	462.05000	487.73000	542.72000	427.31000	505.20000	537.56000	574.11000	841.87000	854.22000	1075.02000	1076.02000	1013.07000	1069.86000	639.92000	754.68000	867.35000	810.61000	787.74000	764.91000	
100080_at	53.09000	30.52000	18.18000	67.13000	77.08000	38.84000	30.32000	27.96000	6.81000	42.28000	47.77000	42.87000	41.40000	32.58000	22.62000	22.64000	12.60000	15.12000	24.31000	22.01000	30.78000	18.77000	24.03000	10.66000	18.55000	17.31000	
100081_at	36.20000	90.14000	72.18000	62.67000	48.86000	69.12000	74.47000	47.39000	69.44000	85.59000	33.71000	50.71000	103.65000	72.93000	183.44000	231.77000	230.49000	179.34000	232.47000	220.67000	301.17000	346.75000	291.00000	286.97000	340.91000	373.37000	
100082_at	109.00000	73.70000	80.62000	82.00000	94.92000	104.17000	87.41000	103.41000	83.14000	85.30000	130.38000	86.74000	133.05000	123.26000	107.10000	97.99000	87.76000	145.82000	106.28000	112.13000	101.90000	121.71000	146.48000	114.26000	93.25000	101.75000	
100084_at	135.31000	136.73000	106.08000	163.01000	124.54000	134.88000	125.42000	132.69000	101.60000	148.93000	118.37000	170.28000	108.31000	196.37000	88.71000	116.99000	133.58000	138.63000	95.03000	102.16000	70.15000	87.38000	88.11000	64.74000	63.39000	57.02000	
100085_at	12.26000	8.06000	7.66000	7.92000	19.33000	7.64000	6.36000	35.62000	11.84000	6.03000	19.02000	17.75000	10.46000	10.36000	13.80000	14.70000	11.13000	8.80000	NaN	11.78000	16.76000	20.54000	5.92000	8.98000	11.34000	14.56000	
100086_at	231.04000	259.05000	282.43000	342.49000	382.08000	264.80000	274.25000	188.66000	248.15000	319.67000	221.50000	203.85000	329.73000	247.44000	269.45000	250.06000	293.39000	318.44000	258.47000	261.27000	302.82000	305.97000	368.92000	435.08000	327.74000	327.81000	
100088_at	272.10000	82.04000	244.69000	132.03000	146.50000	441.78000	442.94000	149.99000	208.98000	131.68000	322.32000	122.76000	234.10000	303.03000	504.72000	575.71000	626.13000	529.36000	471.88000	539.39000	557.91000	550.16000	423.93000	384.82000	430.13000	437.69000	
100089_at	35.75000	39.15000	37.93000	29.60000	31.01000	42.86000	32.68000	37.70000	27.06000	30.26000	59.78000	19.67000	46.36000	76.67000	11.20000	15.99000	13.68000	29.54000	12.27000	11.76000	20.71000	11.34000	22.04000	25.93000	13.04000	13.76000	
100091_at	984.81000	616.53000	719.78000	570.13000	613.89000	851.97000	751.72000	529.44000	708.72000	494.71000	479.86000	578.24000	728.66000	723.74000	596.79000	555.84000	452.57000	512.54000	544.36000	556.35000	465.26000	512.49000	482.90000	545.12000	493.83000	493.50000	
100093_at	314.73000	403.17000	278.51000	315.86000	302.95000	337.80000	260.58000	475.91000	398.40000	627.62000	387.92000	537.63000	461.03000	479.89000	699.44000	696.10000	624.38000	498.88000	700.81000	653.44000	366.84000	364.04000	303.92000	274.47000	326.32000	310.72000	
100094_at	114.76000	166.87000	175.83000	177.18000	150.20000	142.09000	158.81000	151.46000	174.03000	163.52000	89.62000	146.95000	229.60000	158.66000	468.48000	440.56000	478.64000	505.47000	486.15000	534.15000	476.73000	436.92000	581.06000	512.20000	564.66000	549.65000	
100095_at	139.89000	149.86000	124.54000	124.14000	99.37000	126.33000	138.87000	124.82000	96.70000	149.43000	104.22000	115.78000	129.08000	165.63000	198.14000	191.81000	181.01000	193.79000	183.14000	190.16000	159.73000	129.78000	204.70000	168.10000	121.26000	142.12000	
100099_at	657.37000	750.13000	463.46000	626.14000	628.45000	552.71000	522.75000	883.26000	716.74000	672.72000	624.62000	860.32000	999.65000	815.41000	953.02000	1064.45000	915.69000	884.12000	1050.91000	1108.67000	973.08000	1079.02000	1240.91000	1218.63000	1131.55000	1118.66000	
100100_at	22.99000	1.00000	23.48000	22.46000	11.85000	17.88000	15.10000	9.79000	14.77000	19.28000	23.06000	41.27000	12.37000	4.86000	16.38000	15.29000	11.37000	10.51000	11.84000	12.67000	13.80000	12.29000	15.54000	11.91000	14.94000	7.93000	
100101_at	70.14000	52.89000	50.66000	74.12000	43.10000	63.16000	56.49000	36.79000	67.89000	56.86000	47.59000	47.99000	45.29000	40.55000	251.30000	243.41000	262.81000	212.12000	247.50000	295.63000	248.41000	278.21000	261.02000	237.03000	330.06000	302.96000	
100103_f_at	287.74000	166.35000	274.20000	269.44000	255.41000	202.28000	212.25000	165.42000	211.42000	193.43000	281.60000	260.08000	246.02000	354.48000	118.64000	119.84000	86.36000	122.79000	81.48000	80.94000	121.40000	138.92000	126.06000	136.87000	71.95000	87.88000	
100104_r_at	16.77000	9.72000	18.33000	25.10000	15.22000	14.15000	9.29000	14.87000	10.03000	17.90000	15.38000	0.86000	13.90000	29.08000	17.12000	16.04000	11.20000	15.30000	11.58000	11.08000	19.48000	19.35000	23.13000	32.49000	14.79000	9.41000	
100106_at	8.87000	8.20000	3.55000	0.63000	NaN	36.07000	37.87000	26.08000	31.09000	17.16000	NaN	11.17000	29.25000	19.33000	7.00000	30.77000	4.64000	14.67000	8.04000	30.27000	37.11000	16.44000	NaN	4.80000	14.68000	44.19000	
100109_s_at	80.48000	34.17000	39.34000	56.79000	25.50000	70.12000	65.64000	52.82000	71.29000	51.57000	99.49000	72.85000	51.71000	77.76000	60.07000	64.44000	66.22000	152.83000	62.03000	72.96000	80.68000	82.45000	112.54000	88.76000	104.32000	83.01000	
100112_at	84.66000	88.06000	101.49000	117.04000	113.93000	126.69000	114.34000	149.28000	98.94000	170.49000	210.81000	198.93000	121.06000	113.06000	125.84000	127.09000	136.64000	152.99000	110.90000	107.25000	98.12000	88.11000	141.09000	115.00000	94.65000	80.55000	
100113_s_at	1247.19000	914.11000	1087.21000	900.49000	1000.82000	1051.78000	924.39000	1094.24000	1112.73000	952.14000	1231.08000	847.42000	843.46000	732.73000	598.98000	639.42000	749.30000	624.44000	660.19000	740.48000	676.91000	604.44000	552.91000	561.99000	594.57000	626.16000	
100115_at	56.47000	31.42000	61.72000	49.76000	57.83000	62.50000	54.02000	43.54000	53.74000	61.21000	84.30000	66.93000	32.61000	77.00000	141.96000	159.75000	155.12000	187.70000	127.38000	130.60000	125.68000	153.55000	152.18000	142.80000	107.64000	108.50000	
100116_at	52.75000	38.77000	57.34000	31.17000	35.04000	28.88000	33.41000	37.55000	40.08000	43.91000	44.36000	49.38000	30.63000	32.58000	20.00000	39.52000	23.22000	40.30000	27.51000	19.03000	42.44000	35.71000	33.47000	41.12000	19.08000	16.40000	
100117_at	9.04000	29.86000	3.45000	4.80000	10.86000	4.85000	9.50000	1.52000	13.34000	20.42000	11.33000	17.95000	29.02000	15.46000	24.01000	13.78000	7.66000	9.25000	22.69000	18.45000	3.87000	7.86000	24.66000	4.06000	12.80000	12.69000	
100120_at	25.70000	11.94000	17.94000	19.49000	30.85000	14.26000	12.50000	4.36000	21.87000	33.08000	27.07000	35.43000	31.70000	49.80000	12.28000	21.51000	17.41000	29.41000	14.77000	13.31000	17.53000	16.66000	24.28000	36.04000	26.86000	23.99000	
100122_at	1612.64000	916.29000	1030.20000	1145.91000	1297.28000	1100.19000	1134.64000	1287.92000	1438.83000	1123.08000	1322.20000	1128.77000	1219.55000	1090.48000	288.59000	272.45000	271.03000	293.04000	314.32000	294.64000	265.91000	302.13000	278.26000	315.79000	299.27000	330.15000	
100123_f_at	2082.51000	1775.48000	1489.51000	1461.46000	1404.13000	1561.65000	1627.58000	1978.67000	1548.16000	1368.35000	1505.58000	1259.06000	1200.81000	1374.27000	564.36000	545.79000	475.56000	424.86000	404.67000	442.96000	685.80000	635.23000	501.39000	565.55000	704.42000	651.32000	
100124_r_at	321.51000	317.06000	299.10000	299.76000	293.08000	288.40000	265.32000	355.95000	394.47000	350.82000	392.47000	316.50000	340.19000	441.03000	221.66000	224.88000	181.01000	283.38000	239.49000	231.75000	226.62000	220.53000	307.43000	356.08000	276.59000	267.60000	
100125_at	111.71000	77.34000	56.75000	49.20000	53.30000	87.64000	82.81000	58.00000	44.62000	74.76000	83.93000	45.53000	32.69000	34.42000	99.96000	112.80000	91.80000	62.70000	110.40000	90.35000	95.76000	108.68000	102.30000	56.82000	87.30000	92.82000	
100126_at	109.05000	144.59000	94.20000	123.03000	138.77000	127.35000	122.04000	110.46000	122.76000	104.97000	79.11000	143.83000	139.01000	119.70000	125.29000	107.73000	106.90000	134.43000	110.72000	113.87000	132.05000	127.45000	152.67000	171.58000	158.28000	158.04000	
100127_at	13.44000	18.96000	26.83000	22.20000	25.25000	28.26000	18.53000	39.17000	26.28000	43.02000	38.03000	45.66000	32.38000	15.13000	24.09000	32.87000	36.46000	43.58000	20.05000	19.48000	37.11000	35.36000	48.29000	40.73000	59.60000	55.69000	
100128_at	NaN	NaN	NaN	3.79000	NaN	NaN	3.22000	14.72000	15.87000	NaN	6.41000	NaN	NaN	6.19000	8.61000	1.35000	NaN	4.77000	NaN	8.42000	NaN	NaN	NaN	2.34000	8.26000	4.08000	
100130_at	433.78000	370.04000	238.67000	455.06000	274.33000	311.49000	250.67000	253.30000	266.22000	286.20000	213.04000	318.37000	111.82000	97.90000	339.80000	309.52000	394.73000	271.51000	249.62000	275.87000	182.92000	208.11000	155.35000	111.09000	181.10000	167.49000	
100131_at	541.03000	720.03000	734.84000	1323.16000	1070.66000	665.99000	659.48000	692.62000	722.84000	1159.37000	1260.47000	1347.70000	641.82000	774.25000	660.74000	620.74000	1525.42000	1503.86000	606.33000	667.50000	1059.94000	1063.08000	1643.27000	1641.21000	924.45000	941.95000	
100133_at	324.73000	207.63000	402.52000	310.99000	197.50000	462.18000	488.81000	225.95000	302.99000	242.93000	296.61000	166.29000	149.70000	292.82000	379.10000	327.94000	382.39000	302.19000	278.40000	325.85000	332.99000	260.99000	268.11000	256.16000	247.24000	270.63000	
